agentId;configNumber;repetitions;simulationNumber;levelSeed;result;marioMode;timeLeft;timeSpent;marioStatus;distancePassedCells;distancePassedPhys;flowersDevoured;killsByFire;killsByShell;killsByStomp;killsTotal;mushroomsDevoured;greenMushroomsDevoured;coinsGained;hiddenBlocksFound;totalNumberOfCoins;totalNumberOfHiddenBlocks;totalNumberOfMushrooms;totalNumberOfFlowers;totalNumberOfCreatures;levelLength;collisionsWithCreatures
MarioAI;1;1;1;992768568;MARIO_DIED;SMALL;178;21;0;131;2105;0;4;0;1;5;0;0;0;0;0;0;0;0;44;256;3
MarioAI;2;1;2;1260042744;VICTORY;LARGE;155;44;1;256;4096;0;0;0;0;0;0;0;0;0;0;0;0;0;39;256;1
MarioAI;3;1;3;1724204431;MARIO_DIED;SMALL;181;18;0;83;1333;0;0;0;0;0;0;0;0;0;0;0;0;0;40;256;3
MarioAI;4;1;4;17850135;MARIO_DIED;SMALL;169;30;0;167;2679;0;1;0;2;3;0;0;0;0;0;0;0;0;45;256;3
MarioAI;5;1;5;2133836778;MARIO_DIED;SMALL;186;13;0;83;1329;0;1;0;1;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;6;1;6;1523343052;VICTORY;LARGE;152;47;1;256;4096;0;5;0;0;5;0;0;0;0;0;0;0;0;41;256;1
MarioAI;7;1;7;2086825563;MARIO_DIED;SMALL;190;9;0;54;879;0;2;0;0;2;0;0;0;0;0;0;0;0;40;256;3
MarioAI;8;1;8;142959438;MARIO_DIED;SMALL;165;34;0;200;3200;0;2;0;2;4;0;0;0;0;0;0;0;0;37;256;3
MarioAI;9;1;9;1533836046;MARIO_DIED;SMALL;181;18;0;86;1384;0;1;0;0;1;0;0;0;0;0;0;0;0;42;256;3
MarioAI;10;1;10;1817306488;MARIO_DIED;SMALL;156;43;0;245;3929;0;4;0;3;7;0;0;0;0;0;0;0;0;39;256;3
MarioAI;11;1;11;2093456539;MARIO_DIED;SMALL;178;21;0;131;2111;0;7;0;2;9;0;0;0;0;0;0;0;0;42;256;3
MarioAI;12;1;12;1945002173;VICTORY;SMALL;156;43;1;256;4096;0;3;0;4;7;0;0;0;0;0;0;0;0;40;256;2
MarioAI;13;1;13;979930868;MARIO_DIED;SMALL;161;38;0;203;3262;0;0;0;0;0;0;0;0;0;0;0;0;0;39;256;3
MarioAI;14;1;14;85689579;MARIO_DIED;SMALL;166;33;0;193;3101;0;8;0;3;11;0;0;0;0;0;0;0;0;40;256;3
MarioAI;15;1;15;321237028;VICTORY;SMALL;160;40;1;256;4096;0;9;0;1;10;0;0;0;0;0;0;0;0;40;256;2
MarioAI;16;1;16;1461637183;MARIO_DIED;SMALL;163;36;0;200;3202;0;3;0;0;3;0;0;0;0;0;0;0;0;36;256;3
MarioAI;17;1;17;1044354486;VICTORY;SMALL;161;38;1;256;4096;0;9;0;0;9;0;0;0;0;0;0;0;0;38;256;2
MarioAI;18;1;18;1062336798;MARIO_DIED;SMALL;169;30;0;186;2979;0;1;0;1;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;19;1;19;1930945412;MARIO_DIED;SMALL;171;28;0;165;2651;0;4;0;0;4;0;0;0;0;0;0;0;0;38;256;3
MarioAI;20;1;20;230878813;MARIO_DIED;SMALL;181;18;0;105;1692;0;1;0;1;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;21;1;21;131053356;VICTORY;FIRE_LARGE;156;43;1;256;4096;0;16;0;0;16;0;0;0;0;0;0;0;0;38;256;0
MarioAI;22;1;22;476235295;VICTORY;SMALL;159;40;1;256;4096;0;1;0;1;2;0;0;0;0;0;0;0;0;39;256;2
MarioAI;23;1;23;823153549;VICTORY;LARGE;155;44;1;256;4096;0;18;0;0;18;0;0;0;0;0;0;0;0;44;256;1
MarioAI;24;1;24;1225131636;MARIO_DIED;SMALL;164;36;0;223;3570;0;4;0;2;6;0;0;0;0;0;0;0;0;39;256;3
MarioAI;25;1;25;1510500864;VICTORY;LARGE;155;44;1;256;4096;0;10;0;1;11;0;0;0;0;0;0;0;0;40;256;1
MarioAI;26;1;26;1621432429;VICTORY;SMALL;159;40;1;256;4096;0;7;0;3;10;0;0;0;0;0;0;0;0;41;256;2
MarioAI;27;1;27;243727125;MARIO_DIED;SMALL;154;45;0;214;3427;0;1;0;1;2;0;0;0;0;0;0;0;0;37;256;3
MarioAI;28;1;28;1182121271;MARIO_DIED;SMALL;177;22;0;112;1806;0;2;0;1;3;0;0;0;0;0;0;0;0;40;256;3
MarioAI;29;1;29;1753571106;MARIO_DIED;SMALL;186;13;0;73;1168;0;2;0;0;2;0;0;0;0;0;0;0;0;46;256;3
MarioAI;30;1;30;1929107076;VICTORY;LARGE;158;41;1;256;4096;0;7;0;1;8;0;0;0;0;0;0;0;0;35;256;1
MarioAI;31;1;31;1513498359;MARIO_DIED;SMALL;167;33;0;202;3245;0;4;0;3;7;0;0;0;0;0;0;0;0;44;256;3
MarioAI;32;1;32;95096403;MARIO_DIED;SMALL;179;20;0;92;1473;0;4;0;1;5;0;0;0;0;0;0;0;0;38;256;3
MarioAI;33;1;33;2120367965;MARIO_DIED;SMALL;168;31;0;197;3152;0;8;0;0;8;0;0;0;0;0;0;0;0;40;256;3
MarioAI;34;1;34;747550651;MARIO_DIED;SMALL;162;37;0;224;3596;0;7;0;0;7;0;0;0;0;0;0;0;0;38;256;3
MarioAI;35;1;35;266053211;MARIO_DIED;SMALL;176;23;0;136;2191;0;1;0;0;1;0;0;0;0;0;0;0;0;39;256;3
MarioAI;36;1;36;1436086648;MARIO_DIED;SMALL;173;26;0;175;2814;0;0;0;1;1;0;0;0;0;0;0;0;0;40;256;3
MarioAI;37;1;37;2044337994;VICTORY;SMALL;159;40;1;256;4096;0;8;0;2;10;0;0;0;0;0;0;0;0;40;256;2
MarioAI;38;1;38;1274901581;MARIO_DIED;SMALL;183;16;0;85;1368;0;1;0;1;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;39;1;39;212220735;VICTORY;SMALL;154;45;1;256;4096;0;0;0;2;2;0;0;0;0;0;0;0;0;40;256;2
MarioAI;40;1;40;736877176;MARIO_DIED;SMALL;160;39;0;223;3582;0;6;0;2;8;0;0;0;0;0;0;0;0;39;256;3
MarioAI;41;1;41;353357156;MARIO_DIED;SMALL;194;5;0;34;553;0;0;0;1;1;0;0;0;0;0;0;0;0;43;256;3
MarioAI;42;1;42;705520311;MARIO_DIED;SMALL;167;33;0;184;2947;0;1;0;1;2;0;0;0;0;0;0;0;0;40;256;3
MarioAI;43;1;43;1508577068;VICTORY;LARGE;156;43;1;256;4096;0;6;0;3;9;0;0;0;0;0;0;0;0;40;256;1
MarioAI;44;1;44;400853190;MARIO_DIED;SMALL;160;39;0;240;3849;0;9;0;1;10;0;0;0;0;0;0;0;0;39;256;3
MarioAI;45;1;45;982146684;MARIO_DIED;SMALL;160;39;0;198;3183;0;5;0;3;8;0;0;0;0;0;0;0;0;38;256;3
MarioAI;46;1;46;1023612481;MARIO_DIED;SMALL;180;19;0;96;1536;0;3;0;1;4;0;0;0;0;0;0;0;0;40;256;3
MarioAI;47;1;47;657928268;MARIO_DIED;SMALL;183;16;0;92;1477;0;0;0;1;1;0;0;0;0;0;0;0;0;34;256;3
MarioAI;48;1;48;701225517;VICTORY;LARGE;157;42;1;256;4096;0;5;0;2;7;0;0;0;0;0;0;0;0;38;256;1
MarioAI;49;1;49;1992531023;MARIO_DIED;SMALL;167;32;0;184;2951;0;3;0;4;7;0;0;0;0;0;0;0;0;37;256;3
MarioAI;50;1;50;551473885;VICTORY;SMALL;155;44;1;256;4096;0;0;0;2;2;0;0;0;0;0;0;0;0;41;256;2
MarioAI;51;1;51;999119518;VICTORY;LARGE;155;44;1;256;4096;0;4;0;2;6;0;0;0;0;0;0;0;0;36;256;1
MarioAI;52;1;52;801412283;VICTORY;LARGE;157;42;1;256;4096;0;8;0;3;11;0;0;0;0;0;0;0;0;44;256;1
MarioAI;53;1;53;500972148;MARIO_DIED;SMALL;167;32;0;196;3140;0;5;0;3;8;0;0;0;0;0;0;0;0;45;256;3
MarioAI;54;1;54;114027063;MARIO_DIED;SMALL;179;20;0;105;1686;0;1;0;0;1;0;0;0;0;0;0;0;0;41;256;3
MarioAI;55;1;55;467702150;VICTORY;SMALL;161;38;1;256;4096;0;2;0;0;2;0;0;0;0;0;0;0;0;43;256;2
MarioAI;56;1;56;1000037369;MARIO_DIED;SMALL;154;45;0;241;3864;0;5;0;1;6;0;0;0;0;0;0;0;0;41;256;3
MarioAI;57;1;57;1063515516;MARIO_DIED;SMALL;167;32;0;178;2859;0;1;0;0;1;0;0;0;0;0;0;0;0;41;256;3
MarioAI;58;1;58;981489155;VICTORY;FIRE_LARGE;160;39;1;256;4096;0;14;0;2;16;0;0;0;0;0;0;0;0;39;256;0
MarioAI;59;1;59;1457540491;MARIO_DIED;SMALL;184;15;0;96;1548;0;0;0;0;0;0;0;0;0;0;0;0;0;40;256;3
MarioAI;60;1;60;42222947;MARIO_DIED;SMALL;170;29;0;158;2536;0;1;0;0;1;0;0;0;0;0;0;0;0;38;256;3
MarioAI;61;1;61;811728979;VICTORY;SMALL;157;43;1;256;4096;0;11;0;1;12;0;0;0;0;0;0;0;0;44;256;2
MarioAI;62;1;62;172696476;MARIO_DIED;SMALL;173;26;0;167;2672;0;2;0;0;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;63;1;63;1278427740;MARIO_DIED;SMALL;172;27;0;130;2080;0;5;0;1;6;0;0;0;0;0;0;0;0;44;256;3
MarioAI;64;1;64;45662226;MARIO_DIED;SMALL;172;27;0;142;2279;0;2;0;1;3;0;0;0;0;0;0;0;0;46;256;3
MarioAI;65;1;65;531391469;VICTORY;LARGE;153;46;1;256;4096;0;2;0;1;3;0;0;0;0;0;0;0;0;40;256;1
MarioAI;66;1;66;1399162064;MARIO_DIED;SMALL;180;19;0;92;1483;0;1;0;0;1;0;0;0;0;0;0;0;0;46;256;3
MarioAI;67;1;67;462029077;VICTORY;SMALL;148;51;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;44;256;2
MarioAI;68;1;68;450872253;VICTORY;SMALL;152;47;1;256;4096;0;2;0;4;6;0;0;0;0;0;0;0;0;42;256;2
MarioAI;69;1;69;140719389;VICTORY;SMALL;154;45;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;41;256;2
MarioAI;70;1;70;1493408245;VICTORY;SMALL;159;40;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;42;256;2
MarioAI;71;1;71;1858271934;MARIO_DIED;SMALL;166;33;0;189;3039;0;0;0;2;2;0;0;0;0;0;0;0;0;40;256;3
MarioAI;72;1;72;1062566624;MARIO_DIED;SMALL;185;14;0;81;1304;0;2;0;1;3;0;0;0;0;0;0;0;0;46;256;3
MarioAI;73;1;73;1146012871;MARIO_DIED;SMALL;176;23;0;144;2311;0;4;0;3;7;0;0;0;0;0;0;0;0;39;256;3
MarioAI;74;1;74;1323256128;VICTORY;SMALL;154;45;1;256;4096;0;1;0;2;3;0;0;0;0;0;0;0;0;40;256;2
MarioAI;75;1;75;233678618;VICTORY;SMALL;158;41;1;256;4096;0;2;0;0;2;0;0;0;0;0;0;0;0;40;256;2
MarioAI;76;1;76;151444542;MARIO_DIED;SMALL;169;30;0;163;2612;0;3;0;2;5;0;0;0;0;0;0;0;0;47;256;3
MarioAI;77;1;77;976105017;MARIO_DIED;SMALL;162;38;0;180;2882;0;1;0;1;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;78;1;78;550025047;VICTORY;LARGE;158;41;1;256;4096;0;5;0;0;5;0;0;0;0;0;0;0;0;42;256;1
MarioAI;79;1;79;613602210;VICTORY;LARGE;156;43;1;256;4096;0;4;0;4;8;0;0;0;0;0;0;0;0;36;256;1
MarioAI;80;1;80;2078861189;VICTORY;SMALL;154;45;1;256;4096;0;5;0;3;8;0;0;0;0;0;0;0;0;32;256;2
MarioAI;81;1;81;217442262;VICTORY;LARGE;154;45;1;256;4096;0;7;0;4;11;0;0;0;0;0;0;0;0;44;256;1
MarioAI;82;1;82;1433220387;MARIO_DIED;SMALL;165;34;0;202;3242;0;3;0;4;7;0;0;0;0;0;0;0;0;45;256;3
MarioAI;83;1;83;562323144;MARIO_DIED;SMALL;169;30;0;173;2769;0;4;0;1;5;0;0;0;0;0;0;0;0;48;256;3
MarioAI;84;1;84;257587535;MARIO_DIED;SMALL;169;30;0;183;2937;0;5;0;0;5;0;0;0;0;0;0;0;0;35;256;3
MarioAI;85;1;85;248789492;MARIO_DIED;SMALL;171;29;0;167;2687;0;9;0;0;9;0;0;0;0;0;0;0;0;43;256;3
MarioAI;86;1;86;1547613930;MARIO_DIED;SMALL;181;18;0;110;1768;0;5;0;1;6;0;0;0;0;0;0;0;0;39;256;3
MarioAI;87;1;87;1977017216;MARIO_DIED;SMALL;164;35;0;186;2987;0;0;0;2;2;0;0;0;0;0;0;0;0;39;256;3
MarioAI;88;1;88;1681582674;VICTORY;SMALL;160;39;1;256;4096;0;1;0;2;3;0;0;0;0;0;0;0;0;44;256;2
MarioAI;89;1;89;2009841671;VICTORY;SMALL;155;44;1;256;4096;0;2;0;2;4;0;0;0;0;0;0;0;0;43;256;2
MarioAI;90;1;90;1651714204;MARIO_DIED;SMALL;182;17;0;106;1706;0;2;0;1;3;0;0;0;0;0;0;0;0;45;256;3
MarioAI;91;1;91;1087117573;MARIO_DIED;SMALL;179;20;0;127;2037;0;2;0;1;3;0;0;0;0;0;0;0;0;40;256;3
MarioAI;92;1;92;1248783822;MARIO_DIED;SMALL;163;36;0;231;3705;0;7;0;2;9;0;0;0;0;0;0;0;0;39;256;3
MarioAI;93;1;93;1242716157;VICTORY;SMALL;152;47;1;256;4096;0;5;0;2;7;0;0;0;0;0;0;0;0;40;256;2
MarioAI;94;1;94;1119105899;MARIO_DIED;SMALL;158;41;0;236;3786;0;2;0;7;9;0;0;0;0;0;0;0;0;46;256;3
MarioAI;95;1;95;1167911637;MARIO_DIED;SMALL;176;23;0;138;2213;0;3;0;2;5;0;0;0;0;0;0;0;0;35;256;3
MarioAI;96;1;96;355492685;VICTORY;SMALL;156;43;1;256;4096;0;3;0;1;4;0;0;0;0;0;0;0;0;44;256;2
MarioAI;97;1;97;1483023341;MARIO_DIED;SMALL;168;31;0;187;2992;0;2;0;0;2;0;0;0;0;0;0;0;0;44;256;3
MarioAI;98;1;98;1804421280;MARIO_DIED;SMALL;177;22;0;144;2306;0;2;0;0;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;99;1;99;964594944;MARIO_DIED;SMALL;186;13;0;68;1099;0;3;0;1;4;0;0;0;0;0;0;0;0;42;256;3
